T	mtheta	mh2	dec1	error1	prob1	dec2	error2	prob2	dec3	error3	prob3	dec4	error4	prob4	dec5	error5	prob5	dec6	error6	prob6	dec7	error7	prob7	dec8	error8	prob8	dec9	error9	prob9	dec10	error10	prob10	dec11	error11	prob11	dec12	error12	prob12
2.092383e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.165530e-1741	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.642747e-57	9.722634e-02	1.000000e+00	7.352985e-537	9.508770e-02	1.000000e+00	1.828336e-23	1.868219e-01	4.378337e-01	8.415971e-24	1.298772e-01	3.706333e-01	5.606105e-748	9.444145e-02	1.000000e+00	4.028961e-61	1.050758e-01	1.000000e+00	1.644070e-25	1.198013e-01	2.590005e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.171068e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.606996e-1678	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.907418e-55	9.925189e-02	1.000000e+00	8.513791e-518	9.643328e-02	1.000000e+00	1.959339e-23	6.779857e-01	6.243266e-02	8.746471e-24	1.139236e-01	2.752922e-01	3.062815e-721	9.431651e-02	1.000000e+00	1.406929e-59	1.054258e-01	1.000000e+00	1.709293e-25	2.672861e-01	2.830132e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.252711e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.339177e-1617	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.229074e-54	1.002722e-01	1.000000e+00	2.005901e-499	9.635330e-02	1.000000e+00	2.083776e-23	4.393022e-01	1.700017e-01	9.076966e-24	1.128363e-01	3.345494e-01	1.795623e-695	9.366713e-02	1.000000e+00	4.308989e-58	1.050569e-01	1.000000e+00	1.770448e-25	1.233978e-01	5.641633e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.337424e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.149566e-1559	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.549258e-53	4.370555e-01	1.000000e+00	1.018545e-481	9.673610e-02	1.000000e+00	2.211879e-23	1.253468e-01	2.755176e-01	9.404408e-24	1.200377e-01	5.424673e-01	1.224513e-670	9.438844e-02	1.000000e+00	1.163550e-56	1.030721e-01	1.000000e+00	1.828359e-25	1.147299e-01	6.259915e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.425323e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.780754e-1503	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.515608e-51	2.435366e-01	1.000000e+00	1.177914e-464	9.835361e-02	1.000000e+00	2.341706e-23	1.441092e-01	6.262601e-01	9.711031e-24	1.212757e-01	5.860719e-01	1.050383e-646	9.484696e-02	1.000000e+00	2.782748e-55	1.010874e-01	1.000000e+00	1.885475e-25	1.214268e-01	6.139747e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.516527e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	9.496350e-1449	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.369489e-50	9.857755e-02	1.000000e+00	3.277492e-448	9.827259e-02	1.000000e+00	2.468703e-23	1.229313e-01	5.657002e-01	9.999467e-24	1.191673e-01	4.280429e-01	1.219646e-623	9.487326e-02	1.000000e+00	6.048874e-54	7.323859e-01	1.000000e+00	1.938371e-25	1.216605e-01	5.495993e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.611161e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.703108e-1396	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.411488e-49	1.050417e-01	1.000000e+00	2.310804e-432	9.599161e-02	1.000000e+00	2.595579e-23	1.230478e-01	3.051076e-01	1.028073e-23	1.340444e-01	8.114144e-01	2.105946e-601	4.553222e-01	1.000000e+00	1.140766e-52	2.592955e-01	1.000000e+00	1.988301e-25	1.179225e-01	6.834631e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.709354e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.920994e-1346	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.541398e-48	1.763659e-01	1.000000e+00	4.332061e-417	9.587508e-02	1.000000e+00	2.720814e-23	1.288434e-01	3.053265e-01	1.053148e-23	1.184029e-01	9.630004e-01	5.463587e-580	9.705568e-02	1.000000e+00	1.962954e-51	3.016109e-01	1.000000e+00	2.034329e-25	1.178893e-01	9.704340e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.811239e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.345986e-1297	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.389433e-47	2.331044e-01	1.000000e+00	2.267411e-402	9.582934e-02	1.000000e+00	2.843145e-23	1.200359e-01	3.807939e-01	1.077595e-23	1.456044e-01	9.698189e-01	2.416430e-559	9.901852e-02	1.000000e+00	2.956038e-50	9.469015e-02	1.000000e+00	2.077873e-25	1.314069e-01	9.915093e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.916956e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.066036e-1251	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.839042e-46	4.979740e-01	1.000000e+00	3.469215e-388	1.019158e-01	1.000000e+00	2.961954e-23	1.173322e-01	3.560658e-01	1.099585e-23	1.335310e-01	9.948630e-01	1.904955e-539	9.506092e-02	1.000000e+00	4.189300e-49	1.791756e-01	1.000000e+00	2.116607e-25	1.471752e-01	9.782312e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.026648e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	9.758378e-1206	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.675294e-45	1.034750e-01	1.000000e+00	1.623389e-374	1.000746e-01	1.000000e+00	3.072799e-23	1.120676e-01	4.420731e-01	1.119440e-23	1.285111e-01	9.958391e-01	2.852612e-520	9.539654e-02	1.000000e+00	5.178344e-48	9.735508e-02	1.000000e+00	2.151820e-25	1.273405e-01	9.991545e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.140465e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.646066e-1162	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.270913e-44	4.500511e-01	1.000000e+00	2.423801e-361	1.032786e-01	1.000000e+00	3.190673e-23	1.396114e-01	7.625038e-01	1.137905e-23	1.340538e-01	9.995848e-01	8.606908e-502	9.609191e-02	1.000000e+00	6.064097e-47	4.742367e-01	1.000000e+00	2.183378e-25	1.315652e-01	9.981725e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.258562e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.965864e-1120	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.335170e-43	1.048995e-01	1.000000e+00	1.203779e-348	1.006775e-01	1.000000e+00	3.297023e-23	1.268548e-01	9.596286e-01	1.154091e-23	1.300058e-01	9.991402e-01	5.547595e-484	9.824569e-02	1.000000e+00	6.358833e-46	4.893532e-01	1.000000e+00	2.210717e-25	1.281104e-01	9.992697e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.381101e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.432007e-1080	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.357961e-42	1.086292e-01	1.000000e+00	2.107967e-336	2.024768e-01	1.000000e+00	3.399234e-23	1.428662e-01	9.847080e-01	1.168207e-23	1.270121e-01	9.996977e-01	8.086379e-467	1.023665e-01	1.000000e+00	5.988487e-45	1.035992e-01	1.000000e+00	2.234579e-25	1.355047e-01	9.995468e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.508247e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.532870e-1041	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.413074e-41	1.153985e-01	1.000000e+00	1.279829e-324	1.015440e-01	1.000000e+00	3.495106e-23	1.421640e-01	9.916498e-01	1.179828e-23	1.170688e-01	9.994705e-01	2.809115e-450	9.933668e-02	1.000000e+00	5.294176e-44	9.871961e-02	1.000000e+00	2.253291e-25	1.200809e-01	9.997378e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.640175e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.047721e-1003	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.611394e-40	9.569065e-02	1.000000e+00	3.020376e-313	1.525836e+00	1.000000e+00	3.586452e-23	1.536992e-01	9.795955e-01	1.190292e-23	1.347689e-01	9.973434e-01	2.451220e-434	1.031422e-01	1.000000e+00	4.401802e-43	3.219100e-01	1.000000e+00	2.268760e-25	1.174256e-01	9.996122e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.777064e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.376202e-967	4.845727e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.022613e-39	4.068946e-01	1.000000e+00	2.638273e-302	9.940809e-02	1.000000e+00	3.670627e-23	1.394927e-01	9.959437e-01	1.198809e-23	1.213813e-01	9.996798e-01	5.757757e-419	3.399679e-01	1.000000e+00	3.252336e-42	1.018879e-01	1.000000e+00	2.282581e-25	1.367494e-01	9.996400e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.919100e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.730535e-933	9.780000e-02	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.942230e-39	4.700410e-01	1.000000e+00	9.429185e-292	9.877732e-02	1.000000e+00	3.748962e-23	1.362417e-01	9.978351e-01	1.205673e-23	1.272060e-01	9.978047e-01	3.606197e-404	1.029884e-01	1.000000e+00	2.274886e-41	1.031738e-01	1.000000e+00	2.289655e-25	1.179390e-01	9.968209e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.066478e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.089841e-899	9.784716e-02	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.167786e-38	1.065444e-01	1.000000e+00	1.395127e-281	9.412614e-02	1.000000e+00	3.821173e-23	1.299787e-01	9.992243e-01	1.210658e-23	2.335786e-01	9.999921e-01	6.685884e-390	1.052367e-01	1.000000e+00	1.510523e-40	4.699154e-01	1.000000e+00	2.296288e-25	2.380414e-01	9.999728e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.219398e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.659537e-867	1.002772e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.651149e-37	4.703025e-01	1.000000e+00	8.822725e-272	9.552746e-02	1.000000e+00	3.887916e-23	1.362947e-01	9.986972e-01	1.213193e-23	4.027770e-01	9.991871e-01	3.764687e-376	1.016028e-01	1.000000e+00	8.980869e-40	1.026432e-01	1.000000e+00	2.298652e-25	2.447343e-01	9.999954e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.378069e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	9.607045e-836	9.714662e-02	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.933854e-37	4.748131e-01	1.000000e+00	2.459807e-262	9.568812e-02	1.000000e+00	3.947172e-23	1.278231e-01	9.995476e-01	1.214096e-23	2.413405e-01	9.999894e-01	6.844284e-363	2.793871e-01	1.000000e+00	5.094719e-39	1.087196e-01	1.000000e+00	2.296767e-25	2.311389e-01	9.998617e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.542706e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.042382e-805	1.101867e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.594614e-36	4.412381e-01	1.000000e+00	3.116524e-253	9.507975e-02	1.000000e+00	3.999033e-23	1.347761e-01	9.943897e-01	1.213413e-23	2.430505e-01	9.999866e-01	3.960731e-350	1.015957e-01	1.000000e+00	2.708897e-38	9.822167e-02	1.000000e+00	2.291444e-25	2.702755e-01	9.990350e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.713535e-03	4.000000e-03	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	9.104442e-777	1.109453e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.508021e-35	1.117923e-01	1.000000e+00	1.862812e-244	1.168883e-01	1.000000e+00	4.040850e-23	1.120053e-01	9.992556e-01	1.211034e-23	1.366050e-01	3.292229e-02	8.190946e-338	3.435840e-01	1.000000e+00	1.380600e-37	3.387105e-01	1.000000e+00	2.283206e-25	1.333305e-01	9.935106e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
