T	mtheta	mH2	mH	alpha	Rate_Total	dec1	error1	prob1	dec2	error2	prob2	dec3	error3	prob3	dec4	error4	prob4	dec5	error5	prob5	dec6	error6	prob6	dec7	error7	prob7	dec8	error8	prob8	dec9	error9	prob9	dec10	error10	prob10	dec11	error11	prob11	dec12	error12	prob12
1.445973e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	7.104241e-47	0.000000e+00	0.000000e+00	1.000000e+00	1.601421e-2532	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.340462e-92	1.570405e-01	1.246852e-01	1.191506e-788	1.158581e-01	1.000000e+00	4.310447e-47	1.320742e-01	5.880662e-03	2.728953e-47	1.561005e-01	2.683068e-03	2.657787e-1094	0.000000e+00	0.000000e+00	2.620181e-98	1.304452e-01	4.881855e-01	6.484068e-49	1.689949e-01	5.525662e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.472883e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	8.054837e-47	0.000000e+00	0.000000e+00	1.000000e+00	1.172981e-2486	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.603443e-91	1.392747e-01	1.439002e-01	1.014099e-774	1.082687e-01	1.000000e+00	4.956550e-47	1.330737e-01	5.927440e-03	3.027154e-47	1.883926e-01	6.135239e-03	8.960949e-1075	0.000000e+00	0.000000e+00	3.721621e-97	2.565959e-01	7.205185e-01	7.113299e-49	1.678213e-01	4.951793e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.500293e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	9.120402e-47	0.000000e+00	0.000000e+00	1.000000e+00	1.248032e-2441	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.769980e-90	1.213570e-01	1.898040e-01	4.802689e-761	1.074149e-01	1.000000e+00	5.690413e-47	1.365188e-01	1.532986e-05	3.351954e-47	1.515952e-01	3.307293e-03	1.325788e-1055	0.000000e+00	0.000000e+00	5.033341e-96	3.015984e-01	7.293281e-01	7.803565e-49	1.696504e-01	5.197696e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.528214e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.032318e-46	0.000000e+00	0.000000e+00	1.000000e+00	1.998581e-2397	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.823086e-89	1.224925e-01	2.249724e-01	1.278773e-747	1.135538e-01	1.000000e+00	6.524597e-47	1.325523e-01	4.756838e-03	3.712969e-47	1.405020e-01	2.709980e-03	8.748427e-1037	0.000000e+00	0.000000e+00	6.489681e-95	2.601380e-01	1.000000e+00	8.560873e-49	1.560042e-01	4.318562e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.556654e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.167407e-46	0.000000e+00	0.000000e+00	1.000000e+00	5.015977e-2354	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.758607e-88	1.541407e-01	3.345428e-01	1.934471e-734	1.066527e-01	1.000000e+00	7.467368e-47	1.602514e-01	2.291351e-05	4.112791e-47	1.600949e-01	4.782247e-03	2.617779e-1018	0.000000e+00	0.000000e+00	7.983599e-94	1.585614e-01	2.249930e-01	9.391051e-49	1.569669e-01	3.912539e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.585624e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.318947e-46	0.000000e+00	0.000000e+00	1.000000e+00	2.025622e-2311	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.582961e-87	1.291241e-01	4.017013e-01	1.680399e-721	1.117542e-01	1.000000e+00	8.535662e-47	1.509428e-01	1.009288e-04	4.550795e-47	1.370724e-01	2.082971e-05	3.619364e-1000	0.000000e+00	0.000000e+00	9.378282e-93	4.891393e-01	1.742016e-01	1.030152e-48	1.564579e-01	4.697373e-04	0.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.615133e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.489176e-46	0.000000e+00	0.000000e+00	1.000000e+00	1.351446e-2269	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.321911e-86	1.555293e-01	4.741319e-01	8.646182e-709	4.382278e-01	1.000000e+00	9.744331e-47	1.414898e-01	4.593648e-04	5.034422e-47	1.545752e-01	2.670972e-03	2.261227e-982	1.049476e-01	1.000000e+00	1.052384e-91	1.354666e-01	1.530061e-01	1.130115e-48	1.525748e-01	6.537413e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.645191e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.680480e-46	0.000000e+00	0.000000e+00	1.000000e+00	1.558516e-2228	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.004231e-85	1.860139e-01	2.671118e-01	2.500655e-696	1.074920e-01	1.000000e+00	1.110983e-46	1.347263e-01	3.929424e-03	5.571007e-47	1.587015e-01	4.027781e-03	6.849001e-965	1.091028e-01	1.000000e+00	1.129923e-90	1.213341e-01	2.000099e-01	1.239685e-48	1.528702e-01	3.868327e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.675808e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	1.894212e-46	0.000000e+00	0.000000e+00	1.000000e+00	3.207687e-2188	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.662767e-84	1.558418e-01	2.644685e-01	4.458884e-684	4.548994e-01	1.000000e+00	1.264871e-46	1.353675e-01	2.935838e-03	6.157436e-47	1.468478e-01	2.529395e-03	9.935942e-948	1.097005e-01	1.000000e+00	1.161327e-89	1.225542e-01	2.114471e-01	1.359745e-48	1.700243e-01	6.942324e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
1.706995e-03	1.000000e-20	2.262953e+05	1.250902e+02	-4.249056e-11	2.133841e-46	0.000000e+00	0.000000e+00	1.000000e+00	1.200531e-2148	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.326897e-83	1.385098e-01	5.156629e-01	4.559570e-672	1.098676e-01	1.000000e+00	1.438230e-46	1.361907e-01	4.137354e-03	6.806961e-47	1.405220e-01	1.663708e-03	7.001082e-931	1.091484e-01	1.000000e+00	1.144433e-88	1.522477e-01	3.756758e-01	1.491521e-48	1.693726e-01	6.296648e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
